phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.026107560843229294,30.836000442504883,2.193391799926758,0.8255583047866821,2.9572200775146484,2601,,,,
train,-0.10982769727706909,65.0979995727539,0.9481710195541382,0.32605379819869995,2.998810052871704,1381,,,,
train,-0.45770227909088135,76.8740005493164,0.5956237316131592,0.28035154938697815,2.999919891357422,819,,,,
train,-0.7008706331253052,83.02899932861328,0.33833491802215576,0.22546976804733276,3.0,404,,,,
train,-0.8052846789360046,86.06099700927734,0.2352672964334488,0.19101452827453613,3.0,195,,,,
train,-0.8419424295425415,87.00599670410156,0.1988338828086853,0.17354364693164825,3.0,131,,,,
train,-0.856613039970398,87.36000061035156,0.20678852498531342,0.16795478761196136,3.0,129,,,,
train,-0.8652609586715698,87.91300201416016,0.2152451127767563,0.1589147001504898,3.0,134,,,,
train,-0.8736117482185364,88.7040023803711,0.23367494344711304,0.15349379181861877,3.0,138,,,,
train,-0.8842377066612244,89.08599853515625,0.23857474327087402,0.14841309189796448,3.0,141,,,,
val,-0.16393594443798065,56.95564651489258,1.204367995262146,0.2916363775730133,3.0,9,86.72062287664632,0.2487007136935847,0.24645096063613892,0.20194414258003235
val,-0.48996955156326294,77.72177124023438,0.6953779458999634,0.27806514501571655,3.0,16,87.2875010728532,0.29459620223928956,0.3471280336380005,0.264049232006073
val,-0.7090907692909241,84.375,0.4195130467414856,0.21682517230510712,3.0,24,89.50916851519847,0.31360763931419516,0.425544410943985,0.19040511548519135
val,-0.8091541528701782,86.08870697021484,0.26264688372612,0.20875109732151031,3.0,25,91.1895491621263,0.3429757485812458,0.57249915599823,0.11032753437757492
val,-0.8265292048454285,87.80242156982422,0.24007108807563782,0.1833006739616394,3.0,29,93.02569374187516,0.33712779211941973,0.5685670375823975,0.20645669102668762
val,-0.8775193095207214,90.12096405029297,0.16393524408340454,0.15645094215869904,3.0,25,95.40348494243582,0.3777242641657918,0.6414117217063904,0.16992203891277313
val,-0.882108211517334,89.41532135009766,0.19290658831596375,0.15056493878364563,3.0,35,94.96760737504204,0.402750251564488,0.6854585409164429,0.1570989340543747
val,-0.8643375635147095,88.81048583984375,0.24553872644901276,0.1542745679616928,3.0,38,95.94009106498692,0.3747545382415608,0.6192532777786255,0.10967154055833817
val,-0.8940061330795288,91.43144989013672,0.21986570954322815,0.16004444658756256,3.0,37,95.99890007386685,0.4056858645866101,0.6871727705001831,0.20418201386928558
val,-0.8830863833427429,92.94355010986328,0.2789174020290375,0.13803927600383759,3.0,54,96.76366263652096,0.37348219110261605,0.5990978479385376,0.18952041864395142
val (no noise),-0.1967933028936386,50.80644989013672,1.204367995262146,0.3231242895126343,3.0,18,86.72062287664632,0.18911935671698035,0.17087583243846893,0.13626156747341156
val (no noise),-0.49206480383872986,70.36289978027344,0.6953779458999634,0.324673056602478,3.0,27,87.2875010728532,0.2409555058621991,0.2626458406448364,0.20697128772735596
val (no noise),-0.6709492206573486,74.3951644897461,0.4195130467414856,0.24680930376052856,3.0,37,89.50916851519847,0.24865051170709254,0.32039016485214233,0.15025575459003448
val (no noise),-0.7520087957382202,77.31855010986328,0.26264688372612,0.2204352170228958,3.0,38,91.1895491621263,0.2776175202780499,0.4436225891113281,0.0877683013677597
val (no noise),-0.75165194272995,75.90725708007812,0.24007108807563782,0.2080489993095398,3.0,41,93.02569374187516,0.2663757027202245,0.43917757272720337,0.16000375151634216
val (no noise),-0.8040528297424316,79.93951416015625,0.16393524408340454,0.1745898574590683,3.0,37,95.40348494243582,0.29991115411044716,0.49365293979644775,0.12237931787967682
val (no noise),-0.8059747815132141,77.31855010986328,0.19290658831596375,0.17808769643306732,3.0,47,94.96760737504204,0.32108084135398146,0.5381127595901489,0.12035004794597626
val (no noise),-0.7957412004470825,77.5201644897461,0.24553872644901276,0.1786779910326004,3.0,52,95.94009106498692,0.2984907464502282,0.49190378189086914,0.09702412784099579
val (no noise),-0.8004440665245056,78.42742156982422,0.21986570954322815,0.17790989577770233,3.0,50,95.99890007386685,0.30420407939915467,0.522972583770752,0.1444263905286789
val (no noise),-0.8083841800689697,79.53629302978516,0.2789174020290375,0.16690488159656525,3.0,72,96.76366263652096,0.2903030888178302,0.4729444086551666,0.14176025986671448
