phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.0306989848613739,28.98200035095215,2.2321200370788574,0.7365794777870178,2.966909885406494,2601,,,,
train,-0.0897233858704567,50.108001708984375,1.293408989906311,0.5575464367866516,2.9936599731445312,2236,,,,
train,-0.3676075339317322,62.573001861572266,0.6791486740112305,0.47461238503456116,2.998610019683838,766,,,,
train,-0.5620912313461304,72.86900329589844,0.42678436636924744,0.31050190329551697,2.9995999336242676,384,,,,
train,-0.7475499510765076,78.93599700927734,0.18113335967063904,0.2453518509864807,2.9999799728393555,150,,,,
train,-0.808462917804718,80.5270004272461,0.11332662403583527,0.21539871394634247,3.0,87,,,,
train,-0.8226269483566284,82.7959976196289,0.1560821533203125,0.20746994018554688,3.0,82,,,,
train,-0.8572458624839783,85.77799987792969,0.15105478465557098,0.19456686079502106,3.0,62,,,,
train,-0.8766223192214966,86.05699920654297,0.12601067125797272,0.1822415292263031,3.0,54,,,,
train,-0.89744633436203,87.46600341796875,0.100178062915802,0.17224253714084625,3.0,44,,,,
val,-0.3066823184490204,40.120967864990234,1.7309032678604126,0.39753225445747375,3.0,15,95.57916659577187,0.16582805858583588,0.5377656817436218,0.26818597316741943
val,-0.4008769094944,65.92742156982422,0.7908959984779358,0.49227723479270935,3.0,6,96.69786645155625,0.2198593080286188,0.6444840431213379,0.5961855053901672
val,-0.5275212526321411,72.27822875976562,0.6165184378623962,0.38664117455482483,3.0,12,96.34399525378916,0.24669955473053182,0.4833281636238098,0.2640917897224426
val,-0.7442657947540283,81.8548355102539,0.2542569935321808,0.2506614625453949,3.0,13,95.31520694753223,0.241652615162049,0.3129113018512726,0.28216198086738586
val,-0.8079517483711243,82.15725708007812,0.12155916541814804,0.20386111736297607,3.0,13,95.22919501658491,0.230345622294855,0.2986598014831543,0.3177982568740845
val,-0.8282343745231628,83.7701644897461,0.10052548348903656,0.19522017240524292,3.0,15,96.59454566240755,0.24719413813074112,0.2790491282939911,0.27946269512176514
val,-0.8438564538955688,87.80242156982422,0.15979182720184326,0.19494721293449402,3.0,27,97.11241410721422,0.2662367245891782,0.25286757946014404,0.2215254008769989
val,-0.8712621331214905,88.60887145996094,0.11364990472793579,0.1765526682138443,3.0,27,96.4783658413616,0.27706449857649057,0.30827125906944275,0.2367820292711258
val,-0.8830494284629822,88.91129302978516,0.1060316413640976,0.1695334017276764,3.0,27,96.598981424044,0.23848482172497482,0.17125250399112701,0.1581246256828308
val,-0.8800882697105408,89.31451416015625,0.11418645083904266,0.1650944948196411,3.0,28,96.78330957661004,0.2515077981128192,0.27551528811454773,0.18688513338565826
val (no noise),-0.3298817276954651,37.90322494506836,1.7309032678604126,0.4776001274585724,3.0,25,95.57916659577187,0.12204278424372726,0.32637491822242737,0.18001702427864075
val (no noise),-0.39097824692726135,55.14112854003906,0.7908959984779358,0.555435299873352,3.0,13,96.69786645155625,0.14791765528169998,0.3807213306427002,0.33914417028427124
val (no noise),-0.515933096408844,59.77822494506836,0.6165184378623962,0.44040581583976746,3.0,22,96.34399525378916,0.16147964201155365,0.29941123723983765,0.17450594902038574
val (no noise),-0.634928286075592,63.810482025146484,0.2542569935321808,0.3040522336959839,3.0,24,95.31520694753223,0.14876810186100545,0.19132214784622192,0.18148820102214813
val (no noise),-0.6731548309326172,65.92742156982422,0.12155916541814804,0.23976276814937592,3.0,24,95.22919501658491,0.14001961075218533,0.18965184688568115,0.2130884826183319
val (no noise),-0.6831566691398621,66.02822875976562,0.10052548348903656,0.2398880273103714,3.0,27,96.59454566240755,0.1472368928240171,0.1824040710926056,0.1942347288131714
val (no noise),-0.6950415372848511,66.73387145996094,0.15979182720184326,0.22561852633953094,3.0,43,97.11241410721422,0.15680064748922068,0.16561667621135712,0.15077899396419525
val (no noise),-0.707539439201355,68.8508071899414,0.11364990472793579,0.21532602608203888,3.0,43,96.4783658413616,0.1739317018335905,0.21085897088050842,0.16821977496147156
val (no noise),-0.7562342286109924,73.08467864990234,0.1060316413640976,0.2141646146774292,3.0,44,96.598981424044,0.14690345299025084,0.12057243287563324,0.12209728360176086
val (no noise),-0.7314006686210632,69.95967864990234,0.11418645083904266,0.2119908481836319,3.0,46,96.78330957661004,0.15038069011138547,0.18733371794223785,0.14003290235996246
