phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.24024595320224762,20.322999954223633,3.2518374919891357,0.9215016961097717,5.612709999084473,99979,,,,
train,1.6762996912002563,50.1870002746582,1.8341612815856934,0.5809165835380554,3.6283700466156006,58109,,,,
train,1.2720195055007935,63.98400115966797,1.4425036907196045,0.42690742015838623,3.445549964904785,43302,,,,
train,0.9369277954101562,68.16600036621094,1.3945232629776,0.3283115327358246,3.400439977645874,40710,,,,
train,0.5532954931259155,69.8740005493164,1.3058457374572754,0.29810577630996704,3.4137299060821533,37232,,,,
train,0.30345672369003296,78.46399688720703,0.9226081371307373,0.2678731679916382,3.5408198833465576,25089,,,,
train,0.0814676284790039,82.2249984741211,0.772387683391571,0.2294982224702835,3.5466599464416504,21110,,,,
train,-0.04129691421985626,84.34600067138672,0.7323859333992004,0.21291786432266235,3.6565399169921875,20123,,,,
train,-0.16693994402885437,86.00900268554688,0.6672561168670654,0.1918749064207077,3.8220698833465576,18551,,,,
train,-0.2891458570957184,86.88300323486328,0.6266961693763733,0.1819406896829605,3.7178099155426025,17189,,,,
val,0.5197240710258484,27.822580337524414,2.9830539226531982,1.0429638624191284,1.579637050628662,12,85.22569819405061,0.15069453419116888,0.49188894033432007,0.3975285291671753
val,0.8750386834144592,62.90322494506836,1.4899992942810059,0.4985061585903168,3.2993950843811035,24,91.89356549965326,0.20420924295114398,0.5682549476623535,0.3076368272304535
val,0.4180036187171936,69.55644989013672,1.3740335702896118,0.33123302459716797,3.274193525314331,23,89.96056906510294,0.26119037874993145,0.5513054132461548,0.3950261175632477
val,0.08971432596445084,69.05242156982422,1.3631395101547241,0.28564685583114624,3.3014113903045654,50,87.02659582136575,0.17244963755586137,0.3484295904636383,0.15428762137889862
val,-0.16983850300312042,72.4798355102539,0.9981545209884644,0.2652054727077484,3.2298386096954346,50,87.63606663612586,0.1669737100022864,0.2544720768928528,0.08985764533281326
val,-0.3380361497402191,83.7701644897461,0.7165817618370056,0.24399355053901672,3.581653118133545,38,93.21238977000263,0.2266412236752461,0.30697375535964966,0.07027526944875717
val,-0.4281449615955353,87.19757843017578,0.6229140758514404,0.23030957579612732,3.2489919662475586,40,93.01348820208204,0.22089185285763088,0.2357879877090454,0.12700515985488892
val,-0.4334127902984619,89.01210021972656,0.6952435970306396,0.19059795141220093,3.7106854915618896,59,94.21322610812251,0.2301968994527795,0.2525646686553955,0.062043800950050354
val,-0.5890228748321533,89.51612854003906,0.6264168620109558,0.18780507147312164,4.0625,53,96.19288927907331,0.23441037944315987,0.1789025068283081,0.10119721293449402
val,-0.6033022999763489,89.61693572998047,0.60642409324646,0.17539650201797485,3.5584676265716553,48,96.39414506852957,0.23247112855535235,0.22561335563659668,0.10985663533210754
val (no noise),0.519823431968689,27.822580337524414,2.9830539226531982,1.04328453540802,1.579637050628662,43,85.22569819405061,0.13488352175000864,0.44917479157447815,0.3585137128829956
val (no noise),0.8705328702926636,63.004032135009766,1.4899992942810059,0.5134148001670837,3.2993950843811035,106,91.89356549965326,0.16835715053777361,0.4633714556694031,0.2303866446018219
val (no noise),0.37858089804649353,69.05242156982422,1.3740335702896118,0.34433621168136597,3.274193525314331,82,89.96056906510294,0.20800755650771327,0.44071006774902344,0.2549121677875519
val (no noise),0.08221623301506042,68.6491928100586,1.3631395101547241,0.28935524821281433,3.3014113903045654,151,87.02659582136575,0.14973917144913218,0.3101307451725006,0.12484097480773926
val (no noise),-0.15476760268211365,70.56451416015625,0.9981545209884644,0.2857278883457184,3.2298386096954346,143,87.63606663612586,0.13352863594998124,0.2419402152299881,0.09563175588846207
val (no noise),-0.3095579445362091,78.42742156982422,0.7165817618370056,0.2675626277923584,3.581653118133545,150,93.21238977000263,0.18534078280158475,0.2814209759235382,0.08060567080974579
val (no noise),-0.43700432777404785,78.93144989013672,0.6229140758514404,0.24697937071323395,3.2489919662475586,120,93.01348820208204,0.16716525496280796,0.2128363400697708,0.10332857072353363
val (no noise),-0.46736371517181396,81.3508071899414,0.6952435970306396,0.21224725246429443,3.7106854915618896,208,94.21322610812251,0.19322936730555107,0.24305014312267303,0.06289511919021606
val (no noise),-0.5686016082763672,80.34274291992188,0.6264168620109558,0.21488331258296967,4.0625,213,96.19288927907331,0.1904722891267575,0.1654123216867447,0.09091813862323761
val (no noise),-0.6132882237434387,81.04838562011719,0.60642409324646,0.18926461040973663,3.5584676265716553,168,96.39414506852957,0.18541549279330552,0.22720415890216827,0.10743782669305801
