phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.24024595320224762,20.322999954223633,3.2518374919891357,0.9215016961097717,5.612709999084473,99979,,,,
train,1.6762996912002563,50.1870002746582,1.8341612815856934,0.5809165835380554,3.6283700466156006,58109,,,,
train,1.2720195055007935,63.98400115966797,1.4425036907196045,0.42690742015838623,3.445549964904785,43302,,,,
train,0.9369277954101562,68.16600036621094,1.3945232629776,0.3283115327358246,3.400439977645874,40710,,,,
train,0.5532954931259155,69.8740005493164,1.3058457374572754,0.29810577630996704,3.4137299060821533,37232,,,,
train,0.30345672369003296,78.46399688720703,0.9226081371307373,0.2678731679916382,3.5408198833465576,25089,,,,
train,0.0814676284790039,82.2249984741211,0.772387683391571,0.2294982224702835,3.5466599464416504,21110,,,,
train,-0.04129691421985626,84.34600067138672,0.7323859333992004,0.21291786432266235,3.6565399169921875,20123,,,,
train,-0.16693994402885437,86.00900268554688,0.6672561168670654,0.1918749064207077,3.8220698833465576,18551,,,,
train,-0.2891458570957184,86.88300323486328,0.6266961693763733,0.1819406896829605,3.7178099155426025,17189,,,,
val,0.5197240710258484,27.822580337524414,2.9830539226531982,1.0429638624191284,1.579637050628662,12,85.22569819405061,0.15069453419116888,0.49188894033432007,0.3975285291671753
val,0.8750386834144592,62.90322494506836,1.4899992942810059,0.4985061585903168,3.2993950843811035,24,91.89356549965326,0.20420924295114398,0.5682549476623535,0.3076368272304535
val,0.4180036187171936,69.55644989013672,1.3740335702896118,0.33123302459716797,3.274193525314331,23,89.96056906510294,0.26119037874993145,0.5513054132461548,0.3950261175632477
val,0.08971432596445084,69.05242156982422,1.3631395101547241,0.28564685583114624,3.3014113903045654,50,87.02659582136575,0.17244963755586137,0.3484295904636383,0.15428762137889862
val,-0.16983850300312042,72.4798355102539,0.9981545209884644,0.2652054727077484,3.2298386096954346,50,87.63606663612586,0.1669737100022864,0.2544720768928528,0.08985764533281326
val,-0.3380361497402191,83.7701644897461,0.7165817618370056,0.24399355053901672,3.581653118133545,38,93.21238977000263,0.2266412236752461,0.30697375535964966,0.07027526944875717
val,-0.4281449615955353,87.19757843017578,0.6229140758514404,0.23030957579612732,3.2489919662475586,40,93.01348820208204,0.22089185285763088,0.2357879877090454,0.12700515985488892
val,-0.4334127902984619,89.01210021972656,0.6952435970306396,0.19059795141220093,3.7106854915618896,59,94.21322610812251,0.2301968994527795,0.2525646686553955,0.062043800950050354
val,-0.5890228748321533,89.51612854003906,0.6264168620109558,0.18780507147312164,4.0625,53,96.19288927907331,0.23441037944315987,0.1789025068283081,0.10119721293449402
val,-0.6033022999763489,89.61693572998047,0.60642409324646,0.17539650201797485,3.5584676265716553,48,96.39414506852957,0.23247112855535235,0.22561335563659668,0.10985663533210754
val (no noise),0.5197453498840332,27.822580337524414,2.9830539226531982,1.0431008338928223,1.579637050628662,30,85.22569819405061,0.1433299660822204,0.46692976355552673,0.37109997868537903
val (no noise),0.8929346799850464,63.20564651489258,1.4899992942810059,0.5045391917228699,3.2993950843811035,75,91.89356549965326,0.1889561452158372,0.5047406554222107,0.25493305921554565
val (no noise),0.4123975336551666,69.45564270019531,1.3740335702896118,0.3349800705909729,3.274193525314331,63,89.96056906510294,0.23719383446232123,0.4814585745334625,0.29970765113830566
val (no noise),0.07533227652311325,68.75,1.3631395101547241,0.28753015398979187,3.3014113903045654,114,87.02659582136575,0.16166412300412042,0.322981059551239,0.13701768219470978
val (no noise),-0.1628231406211853,71.9758071899414,0.9981545209884644,0.27053987979888916,3.2298386096954346,109,87.63606663612586,0.1486512296266786,0.241008922457695,0.0901670977473259
val (no noise),-0.33836257457733154,81.45161437988281,0.7165817618370056,0.25346341729164124,3.581653118133545,110,93.21238977000263,0.2051287460570624,0.28499677777290344,0.07753445953130722
val (no noise),-0.42501193284988403,85.28225708007812,0.6229140758514404,0.2395431101322174,3.2489919662475586,100,93.01348820208204,0.19801222327772983,0.22082369029521942,0.10612663626670837
val (no noise),-0.4338720440864563,86.49193572998047,0.6952435970306396,0.19761903584003448,3.7106854915618896,152,94.21322610812251,0.21421312097385445,0.24098524451255798,0.061454493552446365
val (no noise),-0.583149790763855,85.98789978027344,0.6264168620109558,0.20065061748027802,4.0625,158,96.19288927907331,0.216514842537933,0.16531838476657867,0.09154446423053741
val (no noise),-0.5975853800773621,86.59274291992188,0.60642409324646,0.17470061779022217,3.5584676265716553,128,96.39414506852957,0.21150470783776262,0.21792320907115936,0.10506486892700195
