phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,-0.06496971845626831,36.5,1.797171711921692,0.7790060043334961,2.9762299060821533,2601,,,,
train,-0.12329540401697159,62.303001403808594,1.0866535902023315,0.3010006248950958,2.9988698959350586,2059,,,,
train,-0.44923505187034607,77.7770004272461,0.682889461517334,0.2765667140483856,2.9999899864196777,1165,,,,
train,-0.730342447757721,85.1259994506836,0.311721533536911,0.200560063123703,3.0,448,,,,
train,-0.8345990777015686,86.84100341796875,0.17923949658870697,0.17137828469276428,3.0,279,,,,
train,-0.8688668012619019,87.33300018310547,0.1463235467672348,0.1629827320575714,3.0,192,,,,
train,-0.8711940050125122,87.66899871826172,0.1686248481273651,0.15618307888507843,2.9999899864196777,179,,,,
train,-0.8564843535423279,88.03399658203125,0.2464723438024521,0.1530458629131317,3.0,209,,,,
train,-0.8685678839683533,88.41999816894531,0.2456832230091095,0.14664584398269653,3.0,215,,,,
train,-0.8782110214233398,88.61799621582031,0.24468612670898438,0.14249540865421295,3.0,206,,,,
val,-0.1881028413772583,55.040321350097656,1.101115107536316,0.292789101600647,3.0,13,91.32643511098568,0.1976436801965541,0.4287896156311035,0.13077354431152344
val,-0.4721532464027405,75.40322875976562,0.9554259777069092,0.31040456891059875,3.0,17,96.35417881434613,0.29806251079539525,0.5769833326339722,0.09937164932489395
val,-0.7264330387115479,88.20564270019531,0.5151174068450928,0.209275022149086,3.0,24,95.94299283353396,0.35868732602643844,0.5594052076339722,0.05908464640378952
val,-0.8298214673995972,84.77822875976562,0.20009814202785492,0.17551572620868683,3.0,20,96.0972087535189,0.33652455019713173,0.6234592795372009,0.06222891807556152
val,-0.860447108745575,87.5,0.1538335233926773,0.16657668352127075,3.0,24,96.27561338704393,0.42109924156116124,0.6884496808052063,0.06543464958667755
val,-0.8827037811279297,88.81048583984375,0.13788852095603943,0.16127167642116547,3.0,24,96.78415298393482,0.4311995153353771,0.675532341003418,0.044985439628362656
val,-0.8640708327293396,86.8951644897461,0.18046510219573975,0.16020673513412476,3.0,25,96.95325675319933,0.40387640709253936,0.6218128204345703,0.09449976682662964
val,-0.8877014517784119,89.41532135009766,0.209453746676445,0.15169726312160492,3.0,24,97.45812268233021,0.3936727972681621,0.597380518913269,0.09813080728054047
val,-0.8719007968902588,88.81048583984375,0.27178043127059937,0.14674638211727142,3.0,31,96.91208352010999,0.4032867942186321,0.5852185487747192,0.06928803771734238
val,-0.8944568634033203,90.7258071899414,0.23320570588111877,0.14148643612861633,3.0,30,97.03063731111932,0.4070837655642823,0.6512998938560486,0.11060650646686554
val (no noise),-0.19264841079711914,51.00806427001953,1.101115107536316,0.2979384958744049,3.0,23,91.32643511098568,0.1630447941114951,0.30090734362602234,0.11056442558765411
val (no noise),-0.4827902019023895,69.15322875976562,0.9554259777069092,0.33644530177116394,3.0,27,96.35417881434613,0.2559594819815596,0.45197558403015137,0.08051052689552307
val (no noise),-0.6998536586761475,81.1491928100586,0.5151174068450928,0.23111800849437714,3.0,39,95.94299283353396,0.3129995805177549,0.4607759118080139,0.05090825632214546
val (no noise),-0.7728084921836853,77.21774291992188,0.20009814202785492,0.2010577917098999,3.0,32,96.0972087535189,0.29301520796949515,0.5025566220283508,0.052725374698638916
val (no noise),-0.8021787405014038,79.03225708007812,0.1538335233926773,0.18974106013774872,3.0,37,96.27561338704393,0.35522377146880085,0.5516986846923828,0.057916149497032166
val (no noise),-0.8185768127441406,81.3508071899414,0.13788852095603943,0.17494013905525208,3.0,36,96.78415298393482,0.37289634775235847,0.5520700216293335,0.03854695335030556
val (no noise),-0.7949448823928833,77.82257843017578,0.18046510219573975,0.18102429807186127,3.0,38,96.95325675319933,0.3516348866012384,0.5083621740341187,0.07997062057256699
val (no noise),-0.8245306611061096,80.14112854003906,0.209453746676445,0.17014695703983307,3.0,38,97.45812268233021,0.3325272702976514,0.4870966076850891,0.07848301529884338
val (no noise),-0.8275217413902283,81.3508071899414,0.27178043127059937,0.1645633429288864,3.0,46,96.91208352010999,0.3524614946106641,0.4881576597690582,0.060685958713293076
val (no noise),-0.851336658000946,84.375,0.23320570588111877,0.16105161607265472,3.0,45,97.03063731111932,0.35641500668317044,0.5446338057518005,0.09721734374761581
